Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,Pos,Final_Position,是否首次入選
Khris Middleton,MIL,26,82,44,38,36.4,20.1,15.5,46.6,5.0,35.9,4.4,88.4,0.5,4.7,5.2,4.0,2.3,1.5,0.3,3.3,35.2,5,1,1.2,2018,0,False,0.54,F,59.5,2.5,,F,False
MarShon Brooks,MEM,29,7,2,5,27.5,20.1,14.6,50.0,4.6,59.4,3.3,87.0,1.1,1.9,3.0,3.6,2.3,1.6,0.4,0.9,32.8,0,0,1.4,2018,0,False,0.29,G-F,84.2,28.2,,G-F,False
Klay Thompson,GSW,28,73,55,18,34.3,20.0,16.1,48.9,7.1,44.0,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4,2018,2,False,0.75,G,52.3,-3.5,,G,False
T.J. Warren,PHX,24,65,18,47,33.0,19.6,16.4,49.8,1.4,22.2,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1.0,0.6,2.3,31.2,6,0,-6.6,2018,0,False,0.28,F,56.2,-0.3,,F,False
John Wall,WAS,27,41,23,18,34.4,19.4,16.3,42.0,4.1,37.1,5.9,72.6,0.5,3.1,3.7,9.6,3.9,1.4,1.1,2.0,41.8,19,0,3.1,2018,1,False,0.56,G,53.5,-2.0,,G,False
Tyreke Evans,MEM,28,52,19,33,30.9,19.4,15.6,45.2,5.5,39.9,4.0,78.5,0.8,4.3,5.1,5.2,2.3,1.1,0.3,1.8,35.3,7,0,0.5,2018,0,False,0.37,G-F,55.4,-0.8,,G-F,False
Dennis Schroder,ATL,24,67,21,46,31.0,19.4,17.1,43.6,3.9,29.0,4.0,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0,-4.1,2018,0,False,0.31,G,59.4,3.9,,G,False
Jrue Holiday,NOP,28,81,47,34,36.1,19.0,15.4,49.4,4.4,33.7,2.9,78.6,0.8,3.7,4.5,6.0,2.6,1.5,0.8,2.5,37.7,8,1,3.9,2018,0,False,0.58,G,57.8,1.8,,G,False
Harrison Barnes,DAL,26,77,24,53,34.2,18.9,15.7,44.5,4.3,35.7,4.1,82.7,1.0,5.1,6.1,2.0,1.5,0.6,0.2,1.2,30.0,8,0,-4.2,2018,0,False,0.31,F,51.7,-5.6,,F,False
Chris Paul,HOU,33,58,50,8,31.8,18.6,13.8,46.0,6.5,38.0,3.8,91.9,0.6,4.8,5.4,7.9,2.2,1.7,0.2,2.4,40.4,14,1,8.6,2018,8,False,0.86,G,57.2,0.7,,G,False
Tobias Harris,LAC,25,80,39,41,33.3,18.6,15.3,46.0,5.6,41.1,2.7,82.9,0.7,4.7,5.5,2.4,1.3,0.9,0.4,2.1,31.4,3,0,-1.4,2018,0,False,0.49,F,56.9,-0.4,,F,False
Nikola Jokic,DEN,23,75,43,32,32.6,18.5,13.5,49.9,3.7,39.6,4.2,85.0,2.6,8.1,10.7,6.1,2.8,1.2,0.8,2.8,43.7,38,10,4.7,2018,0,False,0.57,C,60.4,2.6,,C,False
Eric Gordon,HOU,29,69,55,14,31.2,18.0,14.1,42.8,8.8,35.9,3.5,80.9,0.4,2.1,2.5,2.2,1.9,0.6,0.4,1.7,25.5,0,0,8.5,2018,0,False,0.8,G,60.9,5.2,,G,False
Jeremy Lin,BKN,29,1,0,1,25.2,18.0,12.0,41.7,2.0,50.0,7.0,100.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,21.0,0,0,-6.0,2018,0,False,0.0,G,88.9,31.6,,G,False
Evan Fournier,ORL,25,57,20,37,32.2,17.8,14.1,45.9,5.9,37.9,3.0,86.7,0.4,2.8,3.2,2.9,1.7,0.8,0.3,2.4,27.6,0,0,-2.1,2018,0,False,0.35,G-F,60.6,3.9,,G-F,False
Eric Bledsoe,MIL,28,74,40,34,31.4,17.7,13.4,47.3,4.9,34.7,4.3,79.5,0.7,3.1,3.8,5.0,2.9,2.0,0.6,2.5,34.7,3,1,1.6,2018,0,False,0.54,G,57.4,2.4,,G,False
Andrew Wiggins,MIN,23,82,47,35,36.3,17.7,15.9,43.8,4.1,33.1,3.8,64.3,1.0,3.4,4.4,2.0,1.7,1.1,0.6,2.0,29.4,1,0,2.5,2018,0,False,0.57,F,58.9,2.2,,F,False
Aaron Gordon,ORL,22,58,19,39,32.9,17.6,14.9,43.4,5.9,33.6,3.9,69.8,1.5,6.4,7.9,2.3,1.8,1.0,0.8,1.9,34.1,17,0,-1.6,2018,0,False,0.33,F,55.2,-1.7,,F,False
Kevin Love,CLE,29,59,37,22,28.0,17.6,12.4,45.8,5.6,41.5,4.5,88.0,1.7,7.5,9.3,1.7,1.5,0.7,0.4,2.0,33.2,31,0,1.3,2018,2,False,0.63,C-F,57.3,-0.2,,C-F,False
Tim Hardaway Jr.,NYK,26,57,19,38,33.1,17.5,15.0,42.1,7.2,31.7,3.1,81.6,0.6,3.4,3.9,2.7,1.6,1.1,0.2,2.2,28.4,2,0,-1.3,2018,0,False,0.33,F-G,55.9,-1.4,,F-G,False
Gary Harris,DEN,23,67,37,30,34.4,17.5,13.6,48.5,5.9,39.6,2.4,82.7,0.6,2.1,2.6,2.9,1.8,1.8,0.2,1.8,29.3,0,0,2.6,2018,0,False,0.55,G,58.3,2.0,,G,False
Goran Dragic,MIA,32,75,39,36,31.7,17.3,14.3,45.0,4.0,37.0,3.6,80.1,0.7,3.4,4.1,4.8,2.2,0.8,0.2,2.4,30.1,3,0,0.3,2018,1,False,0.52,G,48.3,-6.4,,G,False
Marc Gasol,MEM,33,73,21,52,33.0,17.2,14.2,42.0,4.4,34.1,4.6,83.4,1.1,7.0,8.1,4.2,2.7,0.7,1.4,2.5,36.9,25,1,-4.3,2018,2,False,0.29,C,52.0,-6.0,,C,False
JJ Redick,PHI,34,70,45,25,30.2,17.1,12.6,46.0,6.6,42.0,3.1,90.4,0.1,2.4,2.5,3.0,1.5,0.5,0.1,1.8,25.0,0,0,4.4,2018,0,False,0.64,G-F,54.4,-1.6,,G-F,False
Mike Conley,MEM,30,12,7,5,31.1,17.1,14.0,38.1,6.4,31.2,5.5,80.3,0.0,2.3,2.3,4.1,1.5,1.0,0.3,2.0,28.2,0,0,-1.4,2018,0,False,0.58,G,57.1,0.3,,G,False
Zach LaVine,CHI,23,24,9,15,27.3,16.7,14.8,38.3,5.1,34.1,4.5,81.3,0.4,3.5,3.9,3.0,1.8,1.0,0.2,2.3,27.6,0,0,-7.2,2018,0,False,0.38,G,56.6,-0.7,,G,False
Jamal Murray,DEN,21,81,46,35,31.7,16.7,13.1,45.1,5.4,37.8,3.1,90.5,1.0,2.7,3.7,3.4,2.1,1.0,0.3,2.1,28.0,1,0,2.8,2018,0,False,0.57,G,62.2,6.5,,G,False
Dwight Howard,CHA,32,81,35,46,30.4,16.6,11.2,55.5,0.1,14.3,7.2,57.4,3.1,9.3,12.5,1.3,2.6,0.6,1.6,3.1,37.6,53,0,1.1,2018,8,False,0.43,C,51.9,-5.6,,C,False
Nikola Vucevic,ORL,27,57,17,40,29.5,16.5,14.7,47.5,3.6,31.4,1.6,81.9,1.8,7.4,9.2,3.4,1.9,1.0,1.1,2.5,36.8,29,1,-0.6,2018,0,False,0.3,C,54.8,-2.4,,C,False
Kyle Lowry,TOR,32,78,57,21,32.2,16.2,12.1,42.7,7.6,39.9,3.3,85.4,0.8,4.7,5.6,6.9,2.3,1.1,0.2,2.5,34.9,23,3,5.1,2018,1,False,0.73,G,53.9,-1.3,,G,False
Kawhi Leonard,SAS,27,9,5,4,23.3,16.2,12.3,46.8,3.9,31.4,4.2,81.6,0.7,4.0,4.7,2.3,1.8,2.0,1.0,1.0,32.5,0,0,1.9,2018,2,False,0.56,F,59.4,3.2,,F,False
Carmelo Anthony,OKC,34,78,46,32,32.1,16.2,15.0,40.4,6.1,35.7,2.5,76.7,0.9,4.9,5.8,1.3,1.3,0.6,0.6,2.5,27.5,6,0,3.5,2018,6,False,0.59,F,61.3,3.6,,F,False
Julius Randle,LAL,23,82,35,47,26.7,16.1,11.0,55.8,0.5,22.2,5.2,71.8,2.2,5.8,8.0,2.6,2.6,0.5,0.5,3.3,30.2,28,1,-1.0,2018,0,False,0.43,F-C,51.8,-5.7,,F-C,False
Kyle Kuzma,LAL,22,77,34,43,31.2,16.1,13.5,45.0,5.6,36.6,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6,2018,0,False,0.44,F,52.1,-4.5,,F,False
Brandon Ingram,LAL,20,59,27,32,33.5,16.1,12.9,47.0,1.8,39.0,4.8,68.1,1.0,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2,2018,0,False,0.46,F-G,54.7,-2.2,,F-G,False
Ben Simmons,PHI,21,81,51,30,33.7,15.8,12.3,54.5,0.1,0.0,4.2,56.0,1.8,6.3,8.1,8.2,3.4,1.7,0.9,2.6,42.1,38,12,4.8,2018,0,False,0.63,G-F,49.6,-7.3,,G-F,False
Will Barton,DEN,27,81,46,35,33.1,15.7,12.7,45.2,5.2,37.0,2.8,80.5,0.9,4.2,5.0,4.1,1.8,1.0,0.6,2.1,31.0,2,0,1.5,2018,0,False,0.57,F-G,59.1,3.2,,F-G,False
Nikola Mirotic,NOP,27,55,34,21,27.2,15.6,12.4,44.7,6.5,37.7,2.5,81.8,1.1,6.3,7.4,1.5,1.1,0.8,0.7,2.0,30.0,12,0,2.7,2018,0,False,0.62,F,55.7,-1.4,,F,False
D'Angelo Russell,BKN,22,48,16,32,25.7,15.5,14.0,41.4,5.8,32.4,2.7,74.0,0.6,3.3,3.9,5.2,3.1,0.8,0.4,1.9,28.2,5,1,-3.8,2018,0,False,0.33,G,55.6,0.0,,G,False
Danilo Gallinari,LAC,29,21,11,10,32.0,15.3,12.2,39.8,5.3,32.4,4.1,93.1,0.4,4.4,4.8,2.0,1.2,0.6,0.5,1.4,26.0,0,0,0.5,2018,0,False,0.52,F,52.5,-4.0,,F,False
Lauri Markkanen,CHI,21,68,23,45,29.7,15.2,12.7,43.4,5.9,36.2,2.4,84.3,1.2,6.3,7.5,1.2,1.2,0.6,0.6,1.5,28.2,14,0,-5.7,2018,0,False,0.34,F,55.7,-1.2,,F,False
Dennis Smith Jr.,DAL,20,69,22,47,29.7,15.2,14.8,39.5,4.9,31.3,2.8,69.4,0.7,3.0,3.8,5.2,2.8,1.0,0.3,2.2,28.6,6,1,-4.7,2018,0,False,0.32,G,59.4,3.7,,G,False
Isaiah Thomas,LAL,29,32,15,17,26.9,15.2,13.2,37.3,5.9,29.3,4.1,89.3,0.5,1.6,2.1,4.8,3.0,0.5,0.1,1.8,23.6,0,0,-3.7,2018,1,False,0.47,G,66.2,10.2,,G,False
Austin Rivers,LAC,25,61,30,31,33.7,15.1,13.2,42.4,5.9,37.8,2.6,64.2,0.4,1.9,2.4,4.0,1.8,1.2,0.3,2.5,26.5,0,0,-1.0,2018,0,False,0.49,G,56.2,-0.2,,G,False
Andre Drummond,DET,24,78,37,41,33.7,15.0,11.3,52.9,0.1,0.0,5.1,60.5,5.1,10.9,16.0,3.0,2.6,1.5,1.6,3.2,45.5,62,0,-0.7,2018,1,False,0.47,C,56.7,-1.3,,C,False
Otto Porter Jr.,WAS,25,77,42,35,31.6,14.7,11.5,50.3,4.1,44.1,1.7,82.8,1.3,5.1,6.4,2.0,1.0,1.5,0.5,2.0,30.6,13,0,3.7,2018,0,False,0.55,F,56.8,0.7,,F,False
Rodney Hood,CLE,25,60,29,31,26.9,14.7,12.5,42.9,5.6,38.1,2.2,86.0,0.4,2.4,2.8,1.6,1.2,0.8,0.2,1.8,22.1,0,0,-1.2,2018,0,False,0.48,G,62.0,5.0,,G,False
Dario Saric,PHI,24,78,49,29,29.6,14.6,11.4,45.3,5.1,39.3,2.7,86.0,2.0,4.7,6.7,2.6,1.9,0.7,0.3,2.1,27.3,13,0,3.7,2018,0,False,0.63,F,54.1,-2.8,,F,False
Paul Millsap,DEN,33,38,22,16,30.1,14.6,11.4,46.4,3.0,34.5,4.2,69.6,1.7,4.7,6.4,2.8,1.9,1.0,1.2,2.6,31.1,2,0,2.7,2018,0,False,0.58,F,51.0,-6.5,,F,False
Reggie Jackson,DET,28,45,27,18,26.7,14.6,12.8,42.6,3.8,30.8,3.0,83.6,0.6,2.1,2.8,5.3,2.2,0.6,0.1,1.9,25.7,0,0,0.3,2018,0,False,0.6,G,60.7,4.4,,G,False
Jaylen Brown,BOS,21,70,47,23,30.7,14.5,11.5,46.5,4.4,39.5,3.3,64.4,0.9,4.0,4.9,1.6,1.8,1.0,0.4,2.6,25.2,2,0,4.9,2018,0,False,0.67,G-F,57.3,0.9,,G-F,False
Zach Randolph,SAC,36,59,18,41,25.6,14.5,12.9,47.3,2.5,34.7,1.8,78.5,1.6,5.1,6.7,2.2,2.0,0.7,0.2,2.0,26.5,8,0,-6.0,2018,1,False,0.31,F,64.0,5.6,,F,False
Jusuf Nurkic,POR,23,79,48,31,26.4,14.3,12.0,50.5,0.1,0.0,3.5,63.0,2.4,6.6,9.0,1.8,2.3,0.8,1.4,3.1,32.1,27,0,2.0,2018,0,False,0.61,C,51.2,-6.6,,C,False
Dion Waiters,MIA,26,30,16,14,30.6,14.3,13.7,39.8,5.7,30.6,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2.0,23.9,0,0,-2.8,2018,0,False,0.53,G,54.5,-1.1,,G,False
Bojan Bogdanovic,IND,29,80,47,33,30.8,14.3,10.7,47.4,4.8,40.2,2.6,86.8,0.4,3.0,3.4,1.5,1.3,0.7,0.1,1.6,21.6,0,0,1.1,2018,0,False,0.59,F-G,60.5,4.0,,F-G,False
Avery Bradley,LAC,27,46,22,24,31.2,14.3,13.6,41.4,4.4,36.9,1.8,76.8,0.5,2.0,2.5,2.0,2.2,1.1,0.2,2.0,22.0,0,0,-2.7,2018,0,False,0.48,G,57.4,0.7,,G,False
Jeff Teague,MIN,30,70,41,29,33.0,14.2,11.3,44.6,3.3,36.8,3.4,84.5,0.3,2.6,3.0,7.0,2.5,1.5,0.3,2.4,31.2,13,0,2.0,2018,0,False,0.59,G,62.5,7.3,,G,False
Taurean Prince,ATL,24,82,24,58,30.0,14.1,11.9,42.6,5.6,38.5,2.2,84.4,0.6,4.1,4.7,2.6,2.3,1.0,0.5,2.0,26.0,5,0,-4.5,2018,0,False,0.29,F,56.9,-0.6,,F,False
Enes Freedom,NYK,26,71,27,44,25.8,14.1,10.0,59.2,0.0,0.0,2.6,84.8,3.8,7.1,11.0,1.5,1.7,0.5,0.5,2.6,30.9,39,0,-2.6,2018,0,False,0.38,C,52.5,-4.9,,C,False
Hassan Whiteside,MIA,29,54,30,24,25.3,14.0,10.7,54.0,0.0,100.0,3.4,70.3,3.2,8.2,11.4,1.0,1.7,0.7,1.7,2.4,34.8,28,0,-1.5,2018,0,False,0.56,C,50.1,-8.5,,C,False
Jonathon Simmons,ORL,28,69,21,48,29.4,13.9,11.0,46.5,3.0,33.8,3.5,76.8,0.9,2.6,3.5,2.5,2.1,0.8,0.2,2.5,22.9,0,0,-4.3,2018,0,False,0.3,F,60.2,4.5,,F,False
Rondae Hollis-Jefferson,BKN,23,68,26,42,28.2,13.9,10.6,47.2,0.8,24.1,4.6,78.8,1.5,5.3,6.8,2.5,1.8,1.0,0.7,2.1,28.9,12,0,-2.7,2018,0,False,0.38,F,56.9,-0.3,,F,False
Jayson Tatum,BOS,20,80,53,27,30.5,13.9,10.4,47.5,3.0,43.4,3.2,82.6,0.6,4.4,5.0,1.6,1.4,1.0,0.7,2.1,26.2,4,0,4.3,2018,0,False,0.66,F,54.4,-1.7,,F,False
Steven Adams,OKC,24,76,43,33,32.7,13.9,9.4,62.9,0.0,0.0,3.8,55.9,5.1,4.0,9.0,1.2,1.7,1.2,1.0,2.8,31.5,28,0,4.2,2018,0,False,0.57,C,54.2,-3.5,,C,False
Jordan Clarkson,CLE,26,81,40,41,23.3,13.9,11.8,45.1,3.9,35.2,2.3,80.0,0.7,2.0,2.7,2.7,1.6,0.7,0.1,1.3,22.0,1,0,-0.5,2018,0,False,0.49,G,58.2,2.7,,G,False
Clint Capela,HOU,24,74,62,12,27.5,13.9,9.1,65.2,0.0,0.0,3.5,56.0,3.3,7.6,10.8,0.9,1.4,0.8,1.9,2.5,34.8,42,0,5.1,2018,0,False,0.84,C,55.6,-1.4,,C,False
Marcus Morris Sr.,BOS,28,54,34,20,26.7,13.6,11.3,42.9,4.3,36.8,2.9,80.5,0.8,4.6,5.4,1.3,1.2,0.6,0.2,1.9,23.4,2,0,0.4,2018,0,False,0.63,F,60.8,3.8,,F,False
Rudy Gobert,UTA,26,56,37,19,32.4,13.5,7.9,62.2,0.0,0.0,5.3,68.2,2.9,7.8,10.7,1.4,1.9,0.8,2.3,2.7,35.9,31,0,6.1,2018,1,False,0.66,C,47.8,-9.7,,C,False
Buddy Hield,SAC,25,80,27,53,25.3,13.5,11.7,44.6,5.1,43.1,1.0,87.7,0.7,3.2,3.8,1.9,1.6,1.1,0.3,1.9,23.5,0,0,-1.9,2018,0,False,0.34,G,57.7,2.1,,G,False
DeMarre Carroll,BKN,31,73,25,48,29.9,13.5,10.8,41.4,5.4,37.1,3.4,76.4,1.4,5.1,6.6,2.0,1.4,0.8,0.4,2.3,26.6,13,0,-0.9,2018,0,False,0.34,F,52.3,-5.0,,F,False
Kris Dunn,CHI,24,52,19,33,29.3,13.4,12.8,42.9,2.6,32.1,2.2,73.7,0.5,3.8,4.3,6.0,2.9,2.0,0.5,3.3,32.2,4,0,-5.3,2018,0,False,0.37,G,63.1,7.6,,G,False
Kentavious Caldwell-Pope,LAL,25,74,31,43,33.2,13.4,10.8,42.6,5.6,38.3,2.6,78.9,0.8,4.4,5.2,2.2,1.3,1.4,0.2,2.0,26.6,4,0,-0.7,2018,0,False,0.42,G,62.1,5.7,,G,False
Bobby Portis,CHI,23,73,25,48,22.5,13.2,11.1,47.1,3.1,35.9,2.1,76.9,2.2,4.6,6.8,1.7,1.4,0.7,0.3,1.8,25.5,12,0,-1.1,2018,0,False,0.34,F,60.1,2.9,,F,False
Allen Crabbe,BKN,26,75,25,50,29.3,13.2,11.0,40.7,7.1,37.8,1.8,85.2,0.4,3.9,4.3,1.6,1.0,0.6,0.5,2.2,23.0,0,0,-1.0,2018,0,False,0.33,G-F,49.8,-5.6,,G-F,False
Michael Beasley,NYK,29,74,24,50,22.3,13.2,10.9,50.7,1.2,39.5,2.1,78.0,1.3,4.3,5.6,1.7,1.9,0.5,0.6,2.0,23.7,10,0,-1.9,2018,0,False,0.32,F,54.4,-2.4,,F,False
Josh Jackson,PHX,21,77,19,58,25.4,13.1,12.1,41.7,2.8,26.3,3.6,63.4,1.2,3.3,4.6,1.5,1.9,1.0,0.5,2.8,23.5,5,0,-6.9,2018,0,False,0.25,G-F,59.5,3.0,,G-F,False
Ricky Rubio,UTA,27,77,44,33,29.3,13.1,10.7,41.8,3.5,35.2,3.3,86.6,0.6,4.0,4.6,5.3,2.7,1.6,0.1,2.7,29.0,11,0,2.7,2018,0,False,0.57,G,57.3,1.7,,G,False
Malcolm Brogdon,MIL,25,48,25,23,29.9,13.0,10.5,48.5,3.4,38.5,1.8,88.2,0.5,2.8,3.3,3.2,1.4,0.9,0.3,2.7,23.7,1,0,-1.3,2018,0,False,0.52,G,52.1,-3.5,,G,False
Brook Lopez,LAL,30,74,34,40,23.4,13.0,10.7,46.5,4.4,34.5,2.1,70.3,1.0,3.0,4.0,1.7,1.3,0.4,1.3,2.6,24.2,4,0,-1.1,2018,0,False,0.46,C,51.2,-6.1,,C,False
Jeremy Lamb,CHA,26,80,36,44,24.6,12.9,10.4,45.7,3.2,37.0,2.6,86.1,0.6,3.4,4.1,2.3,1.2,0.8,0.4,1.7,23.6,0,0,1.0,2018,0,False,0.45,G,62.0,7.2,,G,False
Josh Richardson,MIA,24,81,44,37,33.2,12.9,10.9,45.1,4.1,37.8,1.8,84.5,0.9,2.7,3.5,2.9,1.7,1.5,0.9,2.5,26.9,0,0,0.5,2018,0,False,0.54,F,51.7,-3.8,,F,False
Al Horford,BOS,32,72,47,25,31.6,12.9,10.5,48.9,3.1,42.9,1.7,78.3,1.4,5.9,7.4,4.7,1.8,0.6,1.1,1.9,32.0,15,0,4.8,2018,1,False,0.65,F-C,49.1,-7.9,,F-C,False
Kent Bazemore,ATL,28,65,19,46,27.5,12.9,10.4,42.0,4.2,39.4,3.1,79.6,0.4,3.4,3.8,3.5,2.4,1.5,0.7,2.3,27.0,0,0,-2.5,2018,0,False,0.29,G,55.2,-1.5,,G,False
Trey Burke,NYK,25,36,10,26,21.8,12.8,10.7,50.3,2.9,36.2,1.6,64.9,0.4,1.6,2.0,4.7,1.2,0.7,0.1,1.2,23.4,3,0,-2.3,2018,0,False,0.28,G,58.5,5.0,,G,False
Willie Cauley-Stein,SAC,24,73,23,50,28.0,12.8,10.6,50.2,0.2,25.0,3.4,61.9,1.8,5.2,7.0,2.4,1.5,1.1,0.9,2.5,29.1,12,0,-4.4,2018,0,False,0.32,C,56.6,-1.8,,C,False
